,emission,mpg,cylinders,displacement,horsepower,weight,acceleration,year,origin,name
0,884.3,18,8,307,130,3504,12,70,1,chevrolet chevelle malibu
1,955.6,15,8,350,165,3693,11.5,70,1,buick skylark 320
2,882.2,18,8,318,150,3436,11,70,1,plymouth satellite
3,875.6,16,8,304,150,3433,12,70,1,amc rebel sst
4,874.3,17,8,302,140,3449,10.5,70,1,ford torino
5,1134.6,15,8,429,198,4341,10,70,1,ford galaxie 500
6,1156.8,14,8,454,220,4354,9,70,1,chevrolet impala
7,1139.9,14,8,440,215,4312,8.5,70,1,plymouth fury iii
8,1173,14,8,455,225,4425,10,70,1,pontiac catalina
9,1014.5,15,8,390,190,3850,8.5,70,1,amc ambassador dpl
10,947.6,15,8,383,170,3563,10,70,1,dodge challenger se
11,932.8,14,8,340,160,3609,8,70,1,plymouth 'cuda 340
12,989.7,15,8,400,150,3761,9.5,70,1,chevrolet monte carlo
13,905.2,14,8,455,225,3086,10,70,1,buick estate wagon (sw)
14,547.4,24,4,113,95,2372,15,70,3,toyota corona mark ii
15,683.1,22,6,198,95,2833,15.5,70,1,plymouth duster
16,674.4,18,6,199,97,2774,15.5,70,1,amc hornet
17,632.4,21,6,200,85,2587,16,70,1,ford maverick
18,487.4,27,4,97,88,2130,14.5,70,3,datsun pl510
19,416.3,26,4,97,46,1835,20.5,70,2,volkswagen 1131 deluxe sedan
20,603,25,4,110,87,2672,17.5,70,2,peugeot 504
21,554.5,24,4,107,90,2430,14.5,70,2,audi 100 ls
22,543,25,4,104,95,2375,17.5,70,2,saab 99e
23,528.2,26,4,121,113,2234,12.5,70,2,bmw 2002
24,645.6,21,6,199,90,2648,15,70,1,amc gremlin
25,1162.5,10,8,360,215,4615,14,70,1,ford f250
26,1083.7,10,8,307,200,4376,15,70,1,chevy c20
27,1092.9,11,8,318,210,4382,13.5,70,1,dodge d200
28,1151.8,9,8,304,193,4732,18.5,70,1,hi 1200d
29,487.4,27,4,97,88,2130,14.5,71,3,datsun pl510
30,535.8,28,4,140,90,2264,15.5,71,1,chevrolet vega 2300
31,518.1,25,4,113,95,2228,14,71,3,toyota corona
32,663.3,19,6,232,100,2634,13,71,1,amc gremlin
33,823.8,16,6,225,105,3439,15.5,71,1,plymouth satellite custom
34,812.3,17,6,250,100,3329,15.5,71,1,chevrolet chevelle malibu
35,802.3,19,6,250,88,3302,15.5,71,1,ford torino 500
36,794.6,18,6,232,100,3288,15.5,71,1,amc matador
